start_date,draftableid,displayname,position,firstname,lastname,shortname
2019-09-22,13363599,49ers ,DST,49ers,,49ers
2019-09-22,13363127,A.J. Green,WR,A.J.,Green,A. Green
2019-09-22,13362893,Aaron Jones,RB,Aaron,Jones,A. Jones
2019-09-22,13362815,Aaron Rodgers,QB,Aaron,Rodgers,A. Rodgers
2019-09-22,13363129,Adam Thielen,WR,Adam,Thielen,A. Thielen
2019-09-22,13362846,AJ McCarron,QB,AJ,McCarron,A. McCarron
2019-09-22,13363227,Albert Wilson,WR,Albert,Wilson,A. Wilson
2019-09-22,13363041,Alec Ingold,RB,Alec,Ingold,A. Ingold
2019-09-22,13363093,Alex Armah,RB,Alex,Armah,A. Armah
2019-09-22,13363405,Alex Erickson,WR,Alex,Erickson,A. Erickson
2019-09-22,13362847,Alex McGough,QB,Alex,McGough,A. McGough
2019-09-22,13362859,Alex Tanney,QB,Alex,Tanney,A. Tanney
2019-09-22,13362971,Alexander Mattison,RB,Alexander,Mattison,A. Mattison
2019-09-22,13363413,Allen Hurns,WR,Allen,Hurns,A. Hurns
2019-09-22,13363323,Allen Lazard,WR,Allen,Lazard,A. Lazard
2019-09-22,13363151,Alshon Jeffery,WR,Alshon,Jeffery,A. Jeffery
2019-09-22,13362879,Alvin Kamara,RB,Alvin,Kamara,A. Kamara
2019-09-22,13363109,Amari Cooper,WR,Amari,Cooper,A. Cooper
2019-09-22,13363051,Ameer Abdullah,RB,Ameer,Abdullah,A. Abdullah
2019-09-22,13363297,Andre Patton,WR,Andre,Patton,A. Patton
2019-09-22,13363303,Andre Roberts,WR,Andre,Roberts,A. Roberts
2019-09-22,13363531,Andrew Beck,TE,Andrew,Beck,A. Beck
2019-09-22,13362826,Andy Dalton,QB,Andy,Dalton,A. Dalton
2019-09-22,13363265,Andy Isabella,WR,Andy,Isabella,A. Isabella
2019-09-22,13363021,Andy Janovich,RB,Andy,Janovich,A. Janovich
2019-09-22,13363035,Anthony Sherman,RB,Anthony,Sherman,A. Sherman
2019-09-22,13363115,Antonio Brown,WR,Antonio,Brown,A. Brown
2019-09-22,13363583,Antony Auclair,TE,Antony,Auclair,A. Auclair
2019-09-22,13363305,Auden Tate,WR,Auden,Tate,A. Tate
2019-09-22,13363349,Austin Carr,WR,Austin,Carr,A. Carr
2019-09-22,13362883,Austin Ekeler,RB,Austin,Ekeler,A. Ekeler
2019-09-22,13363451,Austin Hooper,TE,Austin,Hooper,A. Hooper
2019-09-22,13362823,Ben Roethlisberger,QB,Ben,Roethlisberger,B. Roethlisberger
2019-09-22,13363459,Ben Watson,TE,Ben,Watson,B. Watson
2019-09-22,13363613,Bengals ,DST,Bengals,,Bengals
2019-09-22,13363231,Bennie Fowler III,WR,Bennie,Fowler III,B. Fowler III
2019-09-22,13362977,Benny Snell Jr.,RB,Benny,Snell Jr.,B. Snell Jr.
2019-09-22,13363067,Bilal Powell,RB,Bilal,Powell,B. Powell
2019-09-22,13363597,Bills ,DST,Bills,,Bills
2019-09-22,13362865,Blaine Gabbert,QB,Blaine,Gabbert,B. Gabbert
2019-09-22,13363543,Blake Bell,TE,Blake,Bell,B. Bell
2019-09-22,13363469,Blake Jarwin,TE,Blake,Jarwin,B. Jarwin
2019-09-22,13363385,Bobo Wilson,WR,Bobo,Wilson,B. Wilson
2019-09-22,13362850,Brandon Allen,QB,Brandon,Allen,B. Allen
2019-09-22,13363057,Brandon Bolden,RB,Brandon,Bolden,B. Bolden
2019-09-22,13363391,Brandon Zylstra,WR,Brandon,Zylstra,B. Zylstra
2019-09-22,13363357,Braxton Berrios,WR,Braxton,Berrios,B. Berrios
2019-09-22,13363287,Breshad Perriman,WR,Breshad,Perriman,B. Perriman
2019-09-22,13362861,Brett Hundley,QB,Brett,Hundley,B. Hundley
2019-09-22,13363003,Brian Hill,RB,Brian,Hill,B. Hill
2019-09-22,13362839,Brian Hoyer,QB,Brian,Hoyer,B. Hoyer
2019-09-22,13363609,Broncos ,DST,Broncos,,Broncos
2019-09-22,13363603,Buccaneers ,DST,Buccaneers,,Buccaneers
2019-09-22,13363013,Buddy Howell,RB,Buddy,Howell,B. Howell
2019-09-22,13363329,Byron Pringle,WR,Byron,Pringle,B. Pringle
2019-09-22,13362993,C.J. Anderson,RB,C.J.,Anderson,C. Anderson
2019-09-22,13362863,C.J. Beathard,QB,C.J.,Beathard,C. Beathard
2019-09-22,13363055,C.J. Ham,RB,C.J.,Ham,C. Ham
2019-09-22,13363083,C.J. Prosise,RB,C.J.,Prosise,C. Prosise
2019-09-22,13363485,C.J. Uzomah,TE,C.J.,Uzomah,C. Uzomah
2019-09-22,13363161,Calvin Ridley,WR,Calvin,Ridley,C. Ridley
2019-09-22,13362816,Cam Newton,QB,Cam,Newton,C. Newton
2019-09-22,13363483,Cameron Brate,TE,Cameron,Brate,C. Brate
2019-09-22,13363607,Cardinals ,DST,Cardinals,,Cardinals
2019-09-22,13362929,Carlos Hyde,RB,Carlos,Hyde,C. Hyde
2019-09-22,13362822,Carson Wentz,QB,Carson,Wentz,C. Wentz
2019-09-22,13363291,Cedrick Wilson,WR,Cedrick,Wilson,C. Wilson
2019-09-22,13363523,Cethan Carter,TE,Cethan,Carter,C. Carter
2019-09-22,13363259,Chad Beebe,WR,Chad,Beebe,C. Beebe
2019-09-22,13362854,Chad Kelly,QB,Chad,Kelly,C. Kelly
2019-09-22,13363045,Chandler Cox,RB,Chandler,Cox,C. Cox
2019-09-22,13363611,Chargers ,DST,Chargers,,Chargers
2019-09-22,13363501,Charles Clay,TE,Charles,Clay,C. Clay
2019-09-22,13362965,Chase Edmonds,RB,Chase,Edmonds,C. Edmonds
2019-09-22,13363255,Chester Rogers,WR,Chester,Rogers,C. Rogers
2019-09-22,13363610,Chiefs ,DST,Chiefs,,Chiefs
