RylandID_master,rating,name,salary,team,opp,exposure_min,exposure_max,projections_proj,projections_ceiling,projections_floor,projections_proj+/-,projections_pts/sal,projections_projown,projections_actpts,projections_imppts,projections_leverage+/-,projections_leverage,fanshare_sr,fanshare_buzz,trends_pro,trends_my,trends_bargain,trends_opp+/-,trends_snaps,vegas_pts,vegas_opppts,vegas_δ,vegas_spread,vegas_o/u,vegas_spread%,passingyear_comp,passingyear_att,passingyear_yards,passingyear_%,passingyear_y/a,passingyear_adjypa,passingyear_td,passingyear_long,passingyear_cay,passingyear_iay,passingyear_%rb,passingyear_%wr,passingyear_%te,passingyear_td%,passingyear_int%,passingyear_sack%,rushingyear_att,rushingyear_rushlong,rushingyear_yards,rushingyear_y/a,rushingyear_td,rushingyear_successrate,redzoneyear_opp,redzoneyear_opp10,redzoneyear_opp5,weather_temp,weather_humidity,weather_precip%,fantasymonth_ppg,fantasymonth_change,fantasymonth_fp/oppor,fantasymonth_fp/snap,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_change,fantasyyear_fp/oppor,fantasyyear_fp/snap,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,passingmonth_cay,passingmonth_iay,slate_id,pos,marketshareyear_rushtd,marketshareyear_rushyds,marketshareyear_snaps,receivingyear_tgts,receivingyear_receptions,receivingyear_yds,receivingyear_long,receivingyear_y/r,receivingyear_td,receivingyear_y/t,redzoneyear_td%,redzoneyear_succ%,marketshareyear_rectgts,marketshareyear_rectd,marketshareyear_recyds,receivingyear_tay,receivingyear_tay%,receivingmonth_tay,receivingmonth_tay%,projections_projsacks,defenseyear_int%,defenseyear_passsucc,defenseyear_rushsucc,defenseyear_sack%,defenseyear_takeaway%,defenseyear_td%allow,defenseyear_ypp,redzoneyear_snaps,redzoneyear_snaps10,redzoneyear_snaps5,Last Name_master,City Name_master,First Name_master,RylandID_master.1,Unnamed: 114,date
prescott6500qbd,95.66,Dak Prescott,6500,DAL,MIA,0,0,23.2,29.9,13.0,3.65,3.6,12,23.54,19.55,-2,57,97,7.4,6,0,86,7.0,68,34.3,12.3,0.3,-22.0,46.5,67,23,33,264,69,7.9,6.99,1.8,43,0,0,20.0,60.1,18.2,5.5,1.8,8.8,4,10,20,4.5,0.4,48.6,6.63,3.38,2.0,0,0.0,0,32.5,600,0.9,0.49,50,50,0,4,21.0,4.7,1000,0.51,0.31,86,66,0,30,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prescott,dak prescott,d,prescott6500qbd,,9/22/2019
winston5400qbj,93.24,Jameis Winston,5400,TB,NYG,0,0,20.5,28.5,11.0,3.76,3.8,8,29.5,16.74,-3,50,100,8.8,7,0,86,8.1,63,26.5,21.5,-0.8,-5.0,48.0,41,21,33,261,63,7.7,6.18,1.6,40,0,0,13.2,68.8,16.4,4.8,3.9,7.0,4,10,23,5.2,0.1,50.0,4.67,1.67,0.47,87,0.49,0,11.6,-1200,0.31,0.17,25,0,25,4,16.7,1.7,-100,0.41,0.27,52,38,19,21,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,winston,jameis winston,j,winston5400qbj,,9/22/2019
allen4000qbk,91.81,Kyle Allen,4000,CAR,ARI,0,0,16.6,26.8,8.8,3.43,4.2,8,25.34,13.17,-12,8,100,6.0,5,0,96,4.4,34,21.8,24.3,-2.2,2.5,46.0,34,10,15,133,64,8.6,10.2,1.0,38,0,0,22.6,54.8,19.4,6.7,0.0,0.0,2,5,9,3.8,0.5,60.0,1.75,1.25,0.25,0,0.0,0,0.0,0,0.0,0.0,0,0,66,3,8.3,1.9,-1500,0.46,0.25,14,14,28,7,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,kyle allen,k,allen4000qbk,,9/22/2019
watson6400qbd,91.24,Deshaun Watson,6400,HOU,LAC,0,0,21.3,29.4,8.9,2.0,3.3,4,29.84,19.3,2,88,78,2.8,5,0,83,1.1,67,23.0,26.0,0.5,3.0,49.0,57,21,31,256,68,8.2,6.85,1.6,39,0,0,13.9,65.5,17.9,5.2,1.6,11.7,5,13,32,5.4,0.4,52.1,6.94,3.56,2.38,84,0.44,0,22.3,-400,0.58,0.34,50,25,0,4,23.7,4.8,900,0.58,0.35,80,61,3,26,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,watson,deshaun watson,d,watson6400qbd,,9/22/2019
jackson7000qbl,89.9,Lamar Jackson,7000,BAL,KC,0,0,23.6,29.7,11.8,2.77,3.4,12,21.28,20.83,-4,44,97,7.7,5,0,62,-1.0,42,23.8,28.3,0.0,4.5,52.0,36,10,17,136,62,8.0,7.66,1.0,33,0,0,13.9,52.0,30.9,5.9,1.2,7.6,9,16,48,4.9,0.3,52.2,4.38,2.06,0.88,73,0.85,57,35.2,1000,0.89,0.53,66,66,0,3,15.1,2.7,1500,0.53,0.36,60,43,21,23,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jackson,lamar jackson,l,jackson7000qbl,,9/22/2019
allen5900qbj,89.77,Josh Allen,5900,BUF,CIN,0,0,20.5,29.6,11.3,2.48,3.5,12,19.32,18.02,-5,38,97,6.3,4,0,68,0.4,64,24.5,19.0,1.0,-5.5,43.5,51,15,28,188,55,6.7,4.87,0.9,41,0,0,16.2,62.5,15.9,3.2,3.6,6.7,7,18,52,6.7,0.8,57.4,3.33,1.27,0.87,81,0.56,2,21.1,300,0.48,0.29,50,50,0,4,16.6,3.3,400,0.44,0.26,55,40,20,20,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allen,josh allen,j,allen5900qbj,,9/22/2019
ryan5700qbm,86.16,Matt Ryan,5700,ATL,IND,0,0,20.7,28.6,9.5,3.19,3.6,4,26.46,17.51,1,84,89,2.3,4,0,97,0.6,66,23.5,24.5,1.2,1.0,48.0,58,27,39,314,69,8.0,7.58,2.4,41,0,0,14.1,68.2,16.1,6.2,1.5,6.5,1,6,7,4.1,0.1,51.6,5.25,2.56,1.63,0,0.0,0,24.6,-400,0.5,0.34,75,75,0,4,24.6,5.8,200,0.56,0.37,82,69,0,23,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ryan,matt ryan,m,ryan5700qbm,,9/22/2019
wentz5600qbc,81.04,Carson Wentz,5600,PHI,DET,0,0,19.9,27.7,9.2,2.65,3.6,4,21.66,17.25,-6,33,67,3.0,3,0,97,-1.7,67,24.5,20.5,-3.5,-4.0,45.0,48,25,37,278,68,7.5,6.76,1.9,41,0,0,15.1,48.9,34.2,5.1,1.9,6.8,3,4,7,2.5,0.1,48.8,5.31,2.13,1.13,86,0.45,0,22.4,-100,0.48,0.3,75,25,0,4,16.1,2.8,100,0.37,0.24,60,46,25,28,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wentz,carson wentz,c,wentz5600qbc,,9/22/2019
mahomes7600qbp,80.09,Patrick Mahomes,7600,KC,BAL,0,0,23.6,31.8,12.4,1.24,3.1,12,30.86,22.36,0,77,91,6.3,5,0,68,-5.2,65,28.3,23.8,-2.0,-4.5,52.0,64,25,37,333,66,8.9,8.94,2.9,49,0,0,17.9,49.8,29.4,7.8,2.2,4.1,3,9,14,4.5,0.1,50.0,7.94,3.81,1.56,73,0.85,57,33.0,400,0.81,0.49,50,50,0,4,28.9,7.8,2100,0.68,0.44,86,66,0,30,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mahomes,patrick mahomes,p,mahomes7600qbp,,9/22/2019
cousins5100qbk,79.25,Kirk Cousins,5100,MIN,LV,0,0,17.0,27.8,8.6,1.02,3.3,1,12.56,15.98,3,91,75,1.2,3,0,97,1.2,64,25.8,17.3,0.0,-8.5,43.0,61,24,35,247,69,7.0,6.23,1.6,35,0,0,16.5,64.9,15.6,4.6,2.0,6.2,2,5,7,2.5,0.1,39.1,5.44,2.19,1.13,0,0.0,0,13.1,-400,0.5,0.22,66,0,0,3,18.1,1.0,-400,0.45,0.28,83,33,4,24,0,0,3,QB,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cousins,kirk cousins,k,cousins5100qbk,,9/22/2019
