Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Derrick Henry (39971373),Derrick Henry,39971373,RB/FLEX,8200,CLE@BAL 09/14/2025 01:00PM ET,BAL,33.2
WR,Ja'Marr Chase (39971653),Ja'Marr Chase,39971653,WR/FLEX,8100,JAX@CIN 09/14/2025 01:00PM ET,CIN,4.6
RB,Saquon Barkley (39971375),Saquon Barkley,39971375,RB/FLEX,8000,PHI@KC 09/14/2025 04:25PM ET,PHI,18.4
WR,CeeDee Lamb (39971655),CeeDee Lamb,39971655,WR/FLEX,7800,NYG@DAL 09/14/2025 01:00PM ET,DAL,21
WR,Puka Nacua (39971657),Puka Nacua,39971657,WR/FLEX,7600,LAR@TEN 09/14/2025 01:00PM ET,LAR,26.1
RB,Christian McCaffrey (39971377),Christian McCaffrey,39971377,RB/FLEX,7500,SF@NO 09/14/2025 01:00PM ET,SF,23.2
RB,Jahmyr Gibbs (39971379),Jahmyr Gibbs,39971379,RB/FLEX,7400,CHI@DET 09/14/2025 01:00PM ET,DET,15
WR,Malik Nabers (39971659),Malik Nabers,39971659,WR/FLEX,7100,NYG@DAL 09/14/2025 01:00PM ET,NYG,12.1
QB,Josh Allen (39971296),Josh Allen,39971296,QB,7100,BUF@NYJ 09/14/2025 01:00PM ET,BUF,41.76
QB,Lamar Jackson (39971297),Lamar Jackson,39971297,QB,7000,CLE@BAL 09/14/2025 01:00PM ET,BAL,29.36
WR,Amon-Ra St. Brown (39971661),Amon-Ra St. Brown,39971661,WR/FLEX,7000,CHI@DET 09/14/2025 01:00PM ET,DET,8.5
RB,De'Von Achane (39971381),De'Von Achane,39971381,RB/FLEX,6900,NE@MIA 09/14/2025 01:00PM ET,MIA,16.5
RB,Chase Brown (39971383),Chase Brown,39971383,RB/FLEX,6800,JAX@CIN 09/14/2025 01:00PM ET,CIN,13.1
QB,Jalen Hurts (39971298),Jalen Hurts,39971298,QB,6800,PHI@KC 09/14/2025 04:25PM ET,PHI,24.28
WR,Brian Thomas Jr. (39971663),Brian Thomas Jr.,39971663,WR/FLEX,6700,JAX@CIN 09/14/2025 01:00PM ET,JAX,9
RB,Jonathan Taylor (39971385),Jonathan Taylor,39971385,RB/FLEX,6700,DEN@IND 09/14/2025 04:05PM ET,IND,12.8
QB,Joe Burrow (39971299),Joe Burrow,39971299,QB,6600,JAX@CIN 09/14/2025 01:00PM ET,CIN,8.82
