,rating,name,salary,team,opp,exposure_min,exposure_max,projections_proj,projections_ceiling,projections_floor,projections_proj+/-,projections_pts/sal,projections_projown,projections_imppts,projections_leverage+/-,projections_leverage,trends_pro,trends_my,trends_bargain,trends_opp+/-,trends_snaps,vegas_pts,vegas_opppts,vegas_δ,vegas_spread,vegas_o/u,vegas_spread%,passingyear_comp,passingyear_att,passingyear_yards,passingyear_%,passingyear_y/a,passingyear_adjypa,passingyear_td,passingyear_long,passingyear_cay,passingyear_iay,passingyear_%rb,passingyear_%wr,passingyear_%te,passingyear_td%,passingyear_int%,passingyear_sack%,rushingyear_att,rushingyear_rushlong,rushingyear_yards,rushingyear_y/a,rushingyear_td,rushingyear_successrate,redzoneyear_opp,redzoneyear_opp10,redzoneyear_opp5,weather_temp,weather_humidity,weather_precip%,fantasymonth_ppg,fantasymonth_change,fantasymonth_fp/oppor,fantasymonth_fp/snap,fantasymonth_consistency,fantasymonth_upside,fantasymonth_duds,fantasymonth_count,fantasyyear_ppg,fantasyyear_+/-,fantasyyear_change,fantasyyear_fp/oppor,fantasyyear_fp/snap,fantasyyear_consistency,fantasyyear_upside,fantasyyear_duds,fantasyyear_count,passingmonth_cay,passingmonth_iay,slate_id,pos,marketshareyear_rushtd,marketshareyear_rushyds,marketshareyear_snaps,receivingyear_tgts,receivingyear_receptions,receivingyear_yds,receivingyear_long,receivingyear_y/r,receivingyear_td,receivingyear_y/t,redzoneyear_td%,redzoneyear_succ%,marketshareyear_rectgts,marketshareyear_rectd,marketshareyear_recyds,receivingyear_tay,receivingyear_tay%,receivingmonth_tay,receivingmonth_tay%,projections_projsacks,defenseyear_int%,defenseyear_passsucc,defenseyear_rushsucc,defenseyear_sack%,defenseyear_takeaway%,defenseyear_td%allow,defenseyear_ypp,redzoneyear_snaps,redzoneyear_snaps10,redzoneyear_snaps5,Last Name_master,City Name_master,First Name_master,RylandID_master,Position,Name + ID,Name,Id,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,City,First Name,Last Name,RylandID
achane6900rbd,83.78,De'Von Achane,6900,MIA,NE,0,0,18.52,23.9,13.2,4.49,2.7,25.49,14.03,-4,53,7,0,81,-0.2,41,22.5,21,1,-1.5,43.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,20,52,4.6,0.3,41.5,2.81,1.38,0.94,85,0.67,42,16.5,0,0,0,33,0,0,3,15.4,1,1400,0.95,0.38,47,14,42,21,0,0,9.10.25,RB,45.5,50,62.6,4,4,29,12,7,0.3,0,12.1,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,achane,de'von achane,d,achane6900rbd,RB,De'Von Achane (39971381),De'Von Achane,39971381,RB/FLEX,6900,NE@MIA 09/14/2025 01:00PM ET,MIA,16.5,0,d,achane,achane6900rbd
adams5900wrd,76.6,Davante Adams,5900,LA,TEN,0,0,13.93,19.4,8.5,-0.38,2.4,10.26,14.31,-3,60,5,0,69,-2.9,56,23.5,18,-1.5,-5.5,41.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0.89,0.56,85,0.45,0,9.1,-200,0,0,0,0,33,3,17,-0.2,400,1.57,0.29,38,19,33,21,0,0,9.10.25,WR,0,0,0,10,6,77,26,12.6,0.6,0,23.1,0,30.3,33.3,31.7,39.9,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,adams,davante adams,d,adams5900wrd,WR,Davante Adams (39971681),Davante Adams,39971681,WR/FLEX,5900,LAR@TEN 09/14/2025 01:00PM ET,LAR,9.1,0,d,adams,adams5900wrd
allen2600ted,56.9,Davis Allen,2600,LA,TEN,0,0,2.37,3.6,1.2,-2.82,0.9,0.02,5.19,0,0,3,0,82,-3.4,23,23.5,18,-1.5,-5.5,41.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.12,0.06,85,0.45,0,8.3,100,0,0,33,33,0,3,6,0.1,-2900,6.57,0.26,17,13,4,23,0,0,9.10.25,TE,0,0,0,0,0,3,1,6.5,0,0,20,0,2.9,0,1.3,3.6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,davis allen,d,allen2600ted,TE,Davis Allen (39972173),Davis Allen,39972173,TE/FLEX,2600,LAR@TEN 09/14/2025 01:00PM ET,LAR,8.3,0,d,allen,allen2600ted
allen4000rbl,45.86,LeQuint Allen,4000,JAX,CIN,0,0,2.44,3.3,1.6,-3.37,0.6,0,5.81,0,0,1,0,13,-0.3,0,23,26.5,-4.5,3.5,49.5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0.53,0,5.2,0,0,0,33,0,33,3,5.4,0,-1500,0,0,50,0,25,4,0,0,9.10.25,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,lequint allen,l,allen4000rbl,RB,LeQuint Allen Jr. (39971625),LeQuint Allen Jr.,39971625,RB/FLEX,4000,JAX@CIN 09/14/2025 01:00PM ET,JAX,2.1,0,l,allen,allen4000rbl
allen5200rbb,45.56,Braelon Allen,5200,NYJ,BUF,0,0,4.44,6,2.9,-4.77,0.9,0.02,9.21,0,0,1,0,50,-1.3,17,20,26.5,2,6.5,46.5,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,19,3.5,0.2,42.3,0.88,0.35,0.12,81,0.46,0,5.2,300,0.86,0.26,33,0,33,3,4.7,-3.6,-300,0.65,0.28,22,4,63,22,0,0,9.10.25,RB,30,20.3,27.2,1,1,8,5,7.7,0.1,0,21.4,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,braelon allen,b,allen5200rbb,RB,Braelon Allen (39971425),Braelon Allen,39971425,RB/FLEX,5200,BUF@NYJ 09/14/2025 01:00PM ET,NYJ,6.9,0,b,allen,allen5200rbb
allen7100qbj,83.04,Josh Allen,7100,BUF,NYJ,0,0,23.7,35.7,11.7,1.22,3.3,11.95,22.48,2,83,4,0,51,-1,57,26.5,20,0,-6.5,46.5,48,19,31,240,62,7.6,7.99,1.8,42,111.9,265.5,0,0,0,5.8,1.3,2.8,6,13,32,5.4,0.7,59.3,6.81,3.31,1.63,81,0.46,0,41.8,-100,0,0,33,33,0,3,25.9,1.2,1600,0.68,0.46,73,47,8,23,0,0,9.10.25,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,allen,josh allen,j,allen7100qbj,QB,Josh Allen (39971296),Josh Allen,39971296,QB,7100,BUF@NYJ 09/14/2025 01:00PM ET,BUF,41.76,0,j,allen,allen7100qbj
andrews4700tem,75.31,Mark Andrews,4700,BAL,CLE,0,0,9.34,12.7,6,-1.15,2,9.24,10.49,-3,57,5,0,16,-1.1,38,28.5,17,0,-11.5,45.5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.41,0.12,82,0.47,0,1.5,-200,0,0,0,0,50,2,12.1,2.2,-800,2.73,0.32,68,45,13,22,0,0,9.10.25,TE,0,0,0,4,3,41,20,12.4,0.7,0,68.8,0,16.1,27.5,16.8,29.4,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,andrews,mark andrews,m,andrews4700tem,TE,Mark Andrews (39972103),Mark Andrews,39972103,TE/FLEX,4700,CLE@BAL 09/14/2025 01:00PM ET,BAL,1.5,0,m,andrews,andrews4700tem
arizona3400,51.8,Arizona,3400,ARI,CAR,0,0,6.82,15.6,-2,-0.17,2,2.49,6.99,15,98,3,0,16,-0.7,0,25.5,19,4.5,-6.5,44.5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0.18,0,6.3,-100,0,0,66,0,33,3,5.8,0.5,-2100,0,0,72,45,27,22,0,0,9.10.25,D,0,0,0,0,0,0,0,0,0,0,16.87,0,0,0,0,0,0,0,0,2.1,1.6,51.07,44.27,7.12,0.89,3.44,6.96,9.76,5.69,3.29,arizona,arizona,a,arizona3400,D,Cardinals  (39972350),Arizona,39972350,DST,3400,CAR@ARI 09/14/2025 04:05PM ET,ARI,5,Arizona,a,arizon,arizona3400
arroyo2600tee,65.03,Elijah Arroyo,2600,SEA,PIT,0,0,2.77,4.1,1.5,-2.42,1.1,0.07,5.19,1,81,1,0,87,0.3,0,18.3,21.3,-4.2,3,39.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0.45,0,2.8,-100,0,0,33,0,33,3,3,-1,-2900,0,0,25,0,50,4,0,0,9.10.25,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,arroyo,elijah arroyo,e,arroyo2600tee,TE,Elijah Arroyo (39972171),Elijah Arroyo,39972171,TE/FLEX,2600,SEA@PIT 09/14/2025 01:00PM ET,SEA,1.7,0,e,arroyo,arroyo2600tee
atwell3500wrt,60.35,Tutu Atwell,3500,LA,TEN,0,0,6.31,9.2,3.4,-1.47,1.8,0.13,7.78,12,93,1,0,75,-2.9,26,23.5,18,-1.5,-5.5,41.5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.06,0,85,0.45,0,1.4,-100,0,0,0,0,33,3,6.1,-2.5,-2000,1.21,0.23,50,18,22,22,0,0,9.10.25,WR,0,0,0,3,2,35,17,13.4,0,0,0,0,12.6,0,14.9,29.1,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,atwell,tutu atwell,t,atwell3500wrt,WR,Tutu Atwell (39971783),Tutu Atwell,39971783,WR/FLEX,3500,LAR@TEN 09/14/2025 01:00PM ET,LAR,1.4,0,t,atwell,atwell3500wrt
