start_date,draftableid,displayname,position,firstname,lastname,shortname
9/8/2019,13041234,Zay Jones,WR,Zay,Jones,Z. Jones
9/8/2019,13040851,Zach Zenner,RB,Zach,Zenner,Z. Zenner
9/8/2019,13041005,Zach Pascal,WR,Zach,Pascal,Z. Pascal
9/8/2019,13040739,Zach Ertz,TE,Zach,Ertz,Z. Ertz
9/8/2019,13041457,Xavier Turner,RB,Xavier,Turner,X. Turner
9/8/2019,13041367,Wilton Speight,QB,Wilton,Speight,W. Speight
9/8/2019,13040860,Willie Snead IV,WR,Willie,Snead IV,W. Snead IV
9/8/2019,13040806,Will Tye,TE,Will,Tye,W. Tye
9/8/2019,13041320,Will Grier,QB,Will,Grier,W. Grier
9/8/2019,13041523,Will Dissly,TE,Will,Dissly,W. Dissly
9/8/2019,13041312,Wes Hills,RB,Wes,Hills,W. Hills
9/8/2019,13041134,Wendell Smallwood,RB,Wendell,Smallwood,W. Smallwood
9/8/2019,13041165,Wayne Gallman Jr.,RB,Wayne,Gallman Jr.,W. Gallman Jr.
9/8/2019,13040627,Virgil Green,TE,Virgil,Green,V. Green
9/8/2019,13041267,Vince Mayle,TE,Vince,Mayle,V. Mayle
9/8/2019,13040577,Vikings ,DST,Vikings,,Vikings
9/8/2019,13041270,Victor Bolden Jr.,WR,Victor,Bolden Jr.,V. Bolden Jr.
9/8/2019,13040597,Vernon Davis,TE,Vernon,Davis,V. Davis
9/8/2019,13041531,Ventell Bryant,WR,Ventell,Bryant,V. Bryant
9/8/2019,13041871,Valentine Holmes,RB,Valentine,Holmes,V. Holmes
9/8/2019,13041132,Tyrone Swoopes,TE,Tyrone,Swoopes,T. Swoopes
9/8/2019,13040654,Tyrod Taylor,QB,Tyrod,Taylor,T. Taylor
9/8/2019,13041379,Tyreek Hill,WR,Tyreek,Hill,T. Hill
9/8/2019,13041385,Tyree Mayfield,TE,Tyree,Mayfield,T. Mayfield
9/8/2019,13041679,Tyree Jackson,QB,Tyree,Jackson,T. Jackson
9/8/2019,13041425,Tyre Brady,WR,Tyre,Brady,T. Brady
9/8/2019,13040802,Tyler Ott,TE,Tyler,Ott,T. Ott
9/8/2019,13040917,Tyler Lockett,WR,Tyler,Lockett,T. Lockett
9/8/2019,13040866,Tyler Kroft,TE,Tyler,Kroft,T. Kroft
9/8/2019,13040906,Tyler Higbee,TE,Tyler,Higbee,T. Higbee
9/8/2019,13040904,Tyler Ervin,RB,Tyler,Ervin,T. Ervin
9/8/2019,13040756,Tyler Eifert,TE,Tyler,Eifert,T. Eifert
9/8/2019,13041570,Tyler Conklin,TE,Tyler,Conklin,T. Conklin
9/8/2019,13041198,Tyler Boyd,WR,Tyler,Boyd,T. Boyd
9/8/2019,13040883,Ty Montgomery,RB,Ty,Montgomery,T. Montgomery
9/8/2019,13041641,Ty Johnson,RB,Ty,Johnson,T. Johnson
9/8/2019,13041101,Troymaine Pope,RB,Troymaine,Pope,T. Pope
9/8/2019,13040971,Troy Niklas,TE,Troy,Niklas,T. Niklas
9/8/2019,13041358,Trey Quinn,WR,Trey,Quinn,T. Quinn
9/8/2019,13040791,Trevor Siemian,QB,Trevor,Siemian,T. Siemian
9/8/2019,13041787,Trevon Wesco,TE,Trevon,Wesco,T. Wesco
9/8/2019,13041734,Trenton Irwin,WR,Trenton,Irwin,T. Irwin
9/8/2019,13041851,Trenton Cannon,RB,Trenton,Cannon,T. Cannon
9/8/2019,13041169,Trent Taylor,WR,Trent,Taylor,T. Taylor
9/8/2019,13041487,Trent Sherfield,WR,Trent,Sherfield,T. Sherfield
9/8/2019,13268498,Tremon Smith,RB,Tremon,Smith,T. Smith
9/8/2019,13040879,Tre McBride,WR,Tre,McBride,T. McBride
9/8/2019,13041757,Trayveon Williams,RB,Trayveon,Williams,T. Williams
9/8/2019,13041552,Trayone Gray,RB,Trayone,Gray,T. Gray
9/8/2019,13040674,Travis Kelce,TE,Travis,Kelce,T. Kelce
9/8/2019,13041795,Travis Homer,RB,Travis,Homer,T. Homer
9/8/2019,13041548,Travis Fulgham,WR,Travis,Fulgham,T. Fulgham
9/8/2019,13040709,Travis Benjamin,WR,Travis,Benjamin,T. Benjamin
9/8/2019,13041501,Trace McSorley,QB,Trace,McSorley,T. McSorley
9/8/2019,13040652,Torrey Smith,WR,Torrey,Smith,T. Smith
9/8/2019,13041673,Tony Pollard,RB,Tony,Pollard,T. Pollard
9/8/2019,13041477,Tony Brooks-James,RB,Tony,Brooks-James,T. Brooks-James
9/8/2019,13040955,Tommylee Lewis,WR,Tommylee,Lewis,T. Lewis
9/8/2019,13041491,Tommy Sweeney,TE,Tommy,Sweeney,T. Sweeney
9/8/2019,13040762,Tom Savage,QB,Tom,Savage,T. Savage
9/8/2019,13041513,Tom Kennedy,WR,Tom,Kennedy,T. Kennedy
9/8/2019,13041058,Todd Gurley II,RB,Todd,Gurley II,T. Gurley II
9/8/2019,13040572,Titans ,DST,Titans,,Titans
9/8/2019,13041686,Tim White,WR,Tim,White,T. White
9/8/2019,13040923,Thomas Rawls,RB,Thomas,Rawls,T. Rawls
9/8/2019,13041074,Tevin Coleman,RB,Tevin,Coleman,T. Coleman
9/8/2019,13041849,Terry Wright,WR,Terry,Wright,T. Wright
9/8/2019,13041497,Terry McLaurin,WR,Terry,McLaurin,T. McLaurin
9/8/2019,13041655,Terry Godwin,WR,Terry,Godwin,T. Godwin
9/8/2019,13040683,Terrelle Pryor Sr.,WR,Terrelle,Pryor Sr.,T. Pryor Sr.
9/8/2019,13040961,Temarrick Hemingway,TE,Temarrick,Hemingway,T. Hemingway
9/8/2019,13041280,Taywan Taylor,WR,Taywan,Taylor,T. Taylor
9/8/2019,13040887,Taylor Heinicke,QB,Taylor,Heinicke,T. Heinicke
9/8/2019,13040768,Tavon Austin,WR,Tavon,Austin,T. Austin
9/8/2019,13041623,Taryn Christion,QB,Taryn,Christion,T. Christion
9/8/2019,13041148,Tanner Lee,QB,Tanner,Lee,T. Lee
9/8/2019,13041855,Tanner Hudson,TE,Tanner,Hudson,T. Hudson
9/8/2019,13041109,Tajae Sharpe,WR,Tajae,Sharpe,T. Sharpe
9/8/2019,13041604,Taj McGowan,RB,Taj,McGowan,T. McGowan
9/8/2019,13040718,T.Y. Hilton,WR,T.Y.,Hilton,T. Hilton
9/8/2019,13040985,T.J. Yeldon,RB,T.J.,Yeldon,T. Yeldon
9/8/2019,13041664,T.J. Rahming,WR,T.J.,Rahming,T. Rahming
9/8/2019,13041138,T.J. Logan,RB,T.J.,Logan,T. Logan
9/8/2019,13041799,T.J. Hockenson,TE,T.J.,Hockenson,T. Hockenson
9/8/2019,13041632,Steven Sims Jr.,WR,Steven,Sims Jr.,S. Sims Jr.
9/8/2019,13041504,Steve Ishmael,WR,Steve,Ishmael,S. Ishmael
9/8/2019,13041019,Sterling Shepard,WR,Sterling,Shepard,S. Shepard
9/8/2019,13041680,Stephen Carlson,WR,Stephen,Carlson,S. Carlson
9/8/2019,13041049,Stefon Diggs,WR,Stefon,Diggs,S. Diggs
9/8/2019,13041589,Stanley Morgan,WR,Stanley,Morgan,S. Morgan
9/8/2019,13040775,Spencer Ware,RB,Spencer,Ware,S. Ware
9/8/2019,13041238,Spencer Schnell,WR,Spencer,Schnell,S. Schnell
9/8/2019,13041179,Shelton Gibson,WR,Shelton,Gibson,S. Gibson
9/8/2019,13041809,Shawn Poindexter,WR,Shawn,Poindexter,S. Poindexter
9/8/2019,13041873,Shawn Bane,WR,Shawn,Bane,S. Bane
9/8/2019,13041414,Shaun Wilson,RB,Shaun,Wilson,S. Wilson
9/8/2019,13041113,Seth Roberts,WR,Seth,Roberts,S. Roberts
9/8/2019,13040981,Seth DeValve,TE,Seth,DeValve,S. DeValve
9/8/2019,13040814,Senorise Perry,RB,Senorise,Perry,S. Perry
9/8/2019,13041521,Sean Modster,WR,Sean,Modster,S. Modster
9/8/2019,13040831,Sean Mannion,QB,Sean,Mannion,S. Mannion
9/8/2019,13041011,Sean Culkin,TE,Sean,Culkin,S. Culkin
9/8/2019,13040584,Seahawks ,DST,Seahawks,,Seahawks
9/8/2019,13041593,Scotty Miller,WR,Scotty,Miller,S. Miller
9/8/2019,13040847,Scott Simonson,TE,Scott,Simonson,S. Simonson
9/8/2019,13041692,Saquon Barkley,RB,Saquon,Barkley,S. Barkley
9/8/2019,13040896,Sammy Watkins,WR,Sammy,Watkins,S. Watkins
9/8/2019,13041337,Samaje Perine,RB,Samaje,Perine,S. Perine
9/8/2019,13041666,Sam Darnold,QB,Sam,Darnold,S. Darnold
9/8/2019,13041479,Saeed Blacknall,WR,Saeed,Blacknall,S. Blacknall
9/8/2019,13041728,Ryquell Armstead,RB,Ryquell,Armstead,R. Armstead
9/8/2019,13041568,Ryan Yurachek,RB,Ryan,Yurachek,R. Yurachek
